S.No,Date,Product Name,MRP,Current Price,Discount percentage,Ratings,Number of Reviews,Product Image URL,Product Page URL,Local Image Path
1,2026-02-01,Women Printed Silk Blend Straight Kurta,,805,38% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/y/n/j/l-29759-libas-original-imahea2gebwy6q9h.jpeg?q=70,https://www.flipkart.com/libas-women-printed-straight-kurta/p/itm27d47637ca687?pid=KTAHEA3BK63VYMHC&lid=LSTKTAHEA3BK63VYMHCOLJYYI&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_1&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHEA3BK63VYMHC.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\1_Women Printed Silk Blend Straight Kurta.jpeg
2,2026-02-01,Women Printed Viscose Rayon Straight Kurta,,684,61% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/k/v/y/m-32503313-anouk-original-imahb3hdfhcpcyyx.jpeg?q=70,https://www.flipkart.com/anouk-women-printed-straight-kurta/p/itm36dc4a3ebef7b?pid=KTAHB3HETH9TUJMK&lid=LSTKTAHB3HETH9TUJMKVVCVNS&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_2&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHB3HETH9TUJMK.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\2_Women Printed Viscose Rayon Straight Kurta.jpeg
3,2026-02-01,PicPok,,239,81% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/9/r/j/xs-wmnvnkkurtivk-lasmo-original-imahfnryamwunzfu.jpeg?q=70,https://www.flipkart.com/picpok-women-printed-straight-kurta/p/itm5a0594226dfc4?pid=KTAHFPXM5NKGMWMB&lid=LSTKTAHFPXM5NKGMWMBDFMF4U&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_3&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHFPXM5NKGMWMB.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\3_PicPok.jpeg
4,2026-02-01,Ibtida,,1273,31% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/e/q/g/s-lms-13-ibtida-original-imahhfnsgyxywmca.jpeg?q=70,https://www.flipkart.com/ibtida-women-printed-straight-kurta/p/itm43fa1a2d0c235?pid=KTAHG8A3YBHRTBPY&lid=LSTKTAHG8A3YBHRTBPYE4GDAE&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_4&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHG8A3YBHRTBPY.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\4_Ibtida.jpeg
5,2026-02-01,Varanga,,719,72% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/l1qrjbk0/kurta/n/9/j/l-vkur259-varanga-original-imagd8tfgjdbg43f.jpeg?q=70,https://www.flipkart.com/varanga-women-printed-straight-kurta/p/itm2483a9e50ae17?pid=KTAGD8TFFFHZH6MK&lid=LSTKTAGD8TFFFHZH6MKCLUZWG&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_5&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAGD8TFFFHZH6MK.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\5_Varanga.jpeg
6,2026-02-01,Bella Fashion,,261,73% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/top/g/w/m/s-1-top-bella-fashion-original-imahgdfqv3fshntc.jpeg?q=70,https://www.flipkart.com/bella-fashion-women-printed-straight-kurta/p/itm4e8edcb265427?pid=KTAHGDKE9GBVXKGZ&lid=LSTKTAHGDKE9GBVXKGZHBCMV1&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_6&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGDKE9GBVXKGZ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\6_Bella Fashion.jpeg
7,2026-02-01,SHIRSHA TEXTILE,,495,61% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/j/l/x/m-bandhni-print-kurti-shirsha-textile-original-imahgajpvuxu6zrt.jpeg?q=70,https://www.flipkart.com/shirsha-textile-women-printed-straight-kurta/p/itmfd64060962d32?pid=KTAHGAJPWEJA97KN&lid=LSTKTAHGAJPWEJA97KNPCVTMY&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_7&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGAJPWEJA97KN.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\7_SHIRSHA TEXTILE.jpeg
8,2026-02-01,Radhegovind Creation,,280,76% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/o/p/a/xs-011-radhegovind-creation-original-imahgsaayzfmygg2.jpeg?q=70,https://www.flipkart.com/radhegovind-creation-women-printed-straight-kurta/p/itmd8a1784e4b240?pid=KTAHGWKKXYHKKHYJ&lid=LSTKTAHGWKKXYHKKHYJYU0IH7&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_8&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGWKKXYHKKHYJ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\8_Radhegovind Creation.jpeg
9,2026-02-01,Women Paisley Viscose Rayon Straight Kurta,,595,54% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/c/8/g/xxl-krtb020black-fims-original-imahgt3t9pky3mqh.jpeg?q=70,https://www.flipkart.com/fims-women-paisley-straight-kurta/p/itm255136cdd56d7?pid=KTAHGT3U7YYTQH2D&lid=LSTKTAHGT3U7YYTQH2DHDFKPD&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_9&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGT3U7YYTQH2D.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\9_Women Paisley Viscose Rayon Straight Kurta.jpeg
10,2026-02-01,Celtic Fab,,244,87% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/a/w/f/m-sea-grn-slvless-kurta-celtic-fab-original-imahkf57fqgnmesg.jpeg?q=70,https://www.flipkart.com/celtic-fab-women-printed-straight-kurta/p/itm03f0f1dd2d793?pid=KTAGNDC3FYVBGD7H&lid=LSTKTAGNDC3FYVBGD7HJVKFUX&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_10&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAGNDC3FYVBGD7H.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\10_Celtic Fab.jpeg
11,2026-02-01,Women Printed Pure Cotton Straight Kurta,,468,76% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/n/v/n/xl-shortkr789p-mialo-fashion-original-imahgg3brywby285.jpeg?q=70,https://www.flipkart.com/rajam-women-printed-straight-kurta/p/itmcbd07c3023dca?pid=KTAHFHNT2AKHQGSJ&lid=LSTKTAHFHNT2AKHQGSJZZALGW&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_11&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHFHNT2AKHQGSJ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\11_Women Printed Pure Cotton Straight Kurta.jpeg
12,2026-02-01,Outfitsbytiyaara,,440,55% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/v/p/w/s-sleeveless-kurti-green-outfitsbytiyaara-original-imahk663yr6rnmzu.jpeg?q=70,https://www.flipkart.com/outfitsbytiyaara-women-printed-straight-kurta/p/itm026db91e766c6?pid=KTAHGFQDJKHRABFU&lid=LSTKTAHGFQDJKHRABFU29IFZG&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_12&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGFQDJKHRABFU.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\12_Outfitsbytiyaara.jpeg
